video_id,mirror_video_id,video_title,syllabus_id,subject,chapter,lecturer,nepali_date,time,notes
PuXrx36gcpw,fHFEYmMg7uI,|| GK FOR ALL || ASHMAN SIR || 2083-03-22 ||6:30 AM || V,01.01.10,GK FOR ALL,ज्वालामुखी ( VALCANO) DAY-10,ASHMAN SIR,2083-03-22,6:30 AM,
O-j4em0adFw,,ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || KHAGENDRA SIR || 2083-03-21 || 5:00AM,01.01.03,ECONOMICS,ECONOMIC THEORIES ROLES AND ASSUMPTIONS,KHAGENDRA SIR,2083-03-21,5:00AM,
4EwHVKpdjuU,bs9bff1g2As,|| GK FOR ALL || ASHMAN SIR || 2083-03-19 ||6:30 AM ||,01.01.09,GK FOR ALL,भुकम्प ( EARTHQUAKE) विश्वको भूगोल DAY-9,ASHMAN SIR,2083-03-19,6:30 AM,
PxNA7BBIOxU,MWamtDW6oeA,|| GK FOR ALL || ASHMAN SIR || 2083-03-18 ||6:30 AM ||,01.01.08,GK FOR ALL,देशान्तर ( विश्वको भूगोल) DAY-8,ASHMAN SIR,2083-03-18,6:30 AM,
uszLHssrFOk,cj-GD8pG-GU,ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || KHAGENDRA SIR || 2083-03-18 || 5:00AM,01.01.02,MICROECONOMICS,INDUCTIVE METHOD,KHAGENDRA SIR,2083-03-18,5:00AM,
3uEix2f9oY4,YRIp6EokzUw,|| GK FOR ALL || ASHMAN SIR || 2083-03-17 ||6:30 AM ||,01.01.07,GK FOR ALL,अक्षांश ( विश्वको भूगोल) DAY-7,ASHMAN SIR,2083-03-17,6:30 AM,
GkcMFePSm7g,w6IT1Dn7HCA,ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || KHAGENDRA SIR || 2083-03-17 || 5:00AM,01.01.01,MICROECONOMIC,METHODOL0GY IN ECONOMIC,KHAGENDRA SIR,2083-03-17,5:00AM,
Sd7hQiiA2Io,,|| GK FOR ALL || ASHMAN SIR || 2083-03-16 ||6:30 AM ||,01.01.06,GK FOR ALL,विश्वको भूगोल ( महासागरहरु) DAY-6,ASHMAN SIR,2083-03-16,6:30 AM,
MYIN47ExykQ,,ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || KHAGENDRA SIR || 2083-03-16 || 5:00AM,04.00.00,ECONOMICS,ORIENTATION,KHAGENDRA SIR,2083-03-16,5:00 AM,
x2vl0x-jenw,G6FnUgTMvgw,| GK FOR ALL || ASHMAN SIR || 2083-03-15 ||5AM ||,01.01.05,| GK FOR ALL,विश्वको भूगोल ( महादेशहरु) DAY-5,ASHMAN SIR,2083-03-15,5:00AM,
4X-ZwtuMjOs,Oojf0ACTBXo,|| GK FOR ALL || SABIN SIR || 2083-03-14 || 8PM ||,06.04.01,GK FOR ALL,"जनस्वास्थ्य, रोग, खाद्य, पोषण",SABIN SIR,2083-03-14,8PM,
D6X7LJhgxuk,lJMUT94f6mg,|| GK FOR ALL || ASHMAN SIR || 2083-03-14 || 6:30AM ||,01.01.04,GK FOR ALL,पर्वतमाला (Mountain Range) र पर्वत शिखर,ASHMAN SIR,2083-03-14,6:30AM,
RUDLHhqnSjk,oNkLD31qEeI,|| GK FOR ALL || ASHMAN SIR || 2083-03-12 || 6:30AM ||,01.01.03,GK FOR ALL,विश्वको भूगोल DAY-3,ASHMAN SIR,2083-03-12,6:30AM,
6tKlXio_jJU,PHS9ZYQbtDo,|| GK FOR ALL || SABIN SIR || 2083-03-11 || 8PM ||,06.02.03,GK FOR ALL,सापेक्षिक घनत्वको सिद्धान्त (PART-3),SABIN SIR,2083-03-11,8:00PM,| FILE MISSING
EbVA3PdhMgE,,|| GK FOR ALL || ASHMAN SIR || 2083-03-11 || 6:30AM ||,01.01.02,GK FOR ALL,विश्वको भूगोल DAY-2,ASHMAN SIR,2083-03-11,6:30AM,
8cUmX5hSb2s,,|| GK FOR ALL || ASHMAN SIR || 2083-03-10 || 6:30AM ||,01.01.01,GK FOR ALL,विश्वको भूगोल,ASHMAN SIR,2083-03-10,6:30AM,
wYDeujPDNF0,,|| GK FOR ALL || ASHMAN SIR || 2083-03-05 || 6:30AM ||,05.01.01,GK FOR ALL,नेपालको परराष्ट्र नीति,ASHMAN SIR,2083-03-05,6:30AM,
F8XSkP20QgI,,|| GK FOR ALL || SABIN SIR || 2083-03-02 || 8PM ||,06.03.02,GK FOR ALL,SCIENCE AND TECHNOLOGY ( विज्ञान र प्रविधि ) PART-2,SABIN SIR,2083-03-02,8PM,
w8bxm8VTrTQ,,GK FOR ALL || ASHMAN SIR || 2083-02-29 || 6 :30 AM,05.03.06,GK FOR ALL,संयुक्त राष्ट्रसंघ ( UNO) PART-1,ASHMAN SIR,2083-02-29,6 :30 AM,
yBDpQmp5Xro,eULPd1FmU_M,GK FOR ALL || ASHMAN SIR || 2083-02-28 || 6 :30 AM,05.03.05,GK FOR ALL,यूरोपेली संघ (EU),ASHMAN SIR,2083-02-28,6 :30 AM,
icgB_O-veIw,,GK FOR ALL || SABIN SIR || 2083-02-27 || 8:00PM,05.03.15,GK FOR ALL,यूरो मुद्रा (EU),SABIN SIR,2083-02-27,8:00PM,
OjkSRpKu9CI,,|| ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR || 2083-02-25 || 9:00PM,04.05.02,ECONOMICS,HARROD-DOMAR GROWTH MODEL,TILAK SIR,2083-02-25,9:00PM,
uWWQ3besChY,,|| ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR || 2083-02-24 || 9:00PM,04.05.01,MACROECONOMICS,"Growth Theories: Harrod-Domar, Solow-Swan, Neo-Classical Model, Endogenou",ECONOMICS,2083-02-24,9:00PM,
xG46PnBR7XY,,GK || ASHMAN SIR || 2083-02-24 || 6:30 AM,05.03.02,GK FOR ALL,सार्क वडापत्र,ASHMAN SIR,2083-02-24,6:30 AM,
HYj7KkD-Vc0,,ECONOMICS|| NRB OFFICER || ENGLISH MEDIUM ||TILAK SIR || 2083-02-22 || 9:00PM,04.02.13,ECONOMICS,IS-LM FAMEWORK,TILAK SIR,2083-02-22,9:00PM,
cPoCQxfiFgA,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-22 || 5:00AM,03.07.01,ACT,Foreign Exchange Magt. Department,KRISHNA SIR,2083-02-22,5:00AM,
76utJNjfVgE,,ECONOMICS|| NRB OFFICER || ENGLISH MEDIUM ||TILAK SIR || 2083-02-21 || 9:00PM,04.02.12,ECONOMICS,EFFECTIVENESS OF FISCAL POLICY AND DIFFERENT SHAPE OF LM CURVE,TILAK SIR,2083-02-21,9:00PM,
qQjbWgpf_78,,ECONOMICS|| NRB OFFICER || ENGLISH MEDIUM ||TILAK SIR || 2083-02-20 || 9:00PM,04.02.11,ECONOMICS,EFFECTIVENESS OF FP UNDER DIFFERENT SLOPE/ELASTICITY OF LM CURVE,TILAK SIR,2083-02-20,9:00PM,
6mpGp0yTL3o,,ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR || 2083-02-18 || 9:00PM,04.02.10,ECONOMICS,EFFECTIVENESS OF FP AND MP IN IS-LM,TILAK SIR,2083-02-18,9:00PM,
KaxAzoCtYPI,,ECONOMICS || NRB OFFICER || TILAK SIR || ENGLISH MEDIUM || 2083-02-14 || 9:00PM,04.02.09,MACROECONOMICS,POLICY EFFECTIVE NEW USING IS-LM MODEL,TILAK SIR,2083-02-14,9:00PM,
EfJTXEJbesU,xPMuhWx-bwA,GK || ASHMAN SIR || 2083-02-14 || 6:30 AM,02.02.09,GK FOR ALL,नेपालको इतिहासमा राणा शासन र सो समयका घटना / पर्व,ASHMAN SIR,2083-02-14,6:30 AM,
wmBzXCeNRMI,,ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR ||2083-02-13 || 9:00PM,04.02.08,MACROECONOMICS,EFFECT OF SHIFT IN IS AND LM CURVE IN GENERAL EQULIBRIUM,TILAK SIR,2083-02-13,9:00PM,
AW72sHdWqQA,TCYFYX5QzMw,GK || ASHMAN SIR || 2083-02-13 || 6:30 AM,02.02.08,GK FOR ALL,नेपालको इतिहास Continue...,ASHMAN SIR,2083-02-13,6:30 AM,
xonxIKv7ceU,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-13 || 5:00AM,03.05.01,ACT,"AML ACT, 2064: GREYLIST RELATED",KRISHNA SIR,2083-02-13,5:00AM,
G7PB_wfChKA,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-12 || 5:00AM,03.00.00,ACT,Negotiable Instruments,KRISHNA SIR,2083-02-12,5:00AM,
_yzEbuGEgVY,,ECONOMICS|| TILAK SIR || 2083-02-11 || 9:00PM,04.02.07,ECONOMICS,GENERAL EQULIBRIUM / SYNTHESIS OF REAL SECTOR AND MONETARY SECTOR,TILAK SIR,2083-02-11,9:00PM,
_HyzXlWNHH4,mqxg4jGIYF4,GK || ASHMAN SIR || 2083-02-11 || 6:30 AM,02.02.07,GK FOR ALL,नेपालको इतिहास Continue...,ASHMAN SIR,2083-02-11,6:30 AM,
mxsDnRdgeXI,,ECONOMICS || TILAK SIR || 2083-0-2-10 || 9 :00 PM,04.02.06,ECONOMICS,SHIFT IN LM CURVE,TILAK SIR,2083-02-10,9:00PM,
K4CRB2KX8eM,,GK || SABIN SIR || 2083-02-10 || 8 :00 PM,05.03.03,GK FOR ALL,सुरक्षा परिषद्,SABIN SIR,2083-02-10,8:00PM,
Rns201q59-k,,GK || ASHMAN SIR || 2083-02-10 || 6:30 AM,02.02.07,GK,नेपालको आधुनिक इतिहास,ASHMAN SIR,2083-02-10,6:30 AM,
bXLxu_hpLQw,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-10 || 5:00AM,03.07.05-1,ACT,DIRECTIVE 1 (CAPITAL CONSERVATION BUFFER),KRISHNA SIR,2083-02-10,5:00AM,
o56mp8eF7C0,J755AEWcwxM,GK || ASHMAN SIR || 2083-02-09 || 6:00AM,02.02.06,GK FOR ALL,नेपालको इतिहास (मल्लकालीन),ASHMAN SIR,2083-02-09,6:00AM,
Hce41Aa2IdY,,ECONOMICS || NRB OFFICER ENGLSH || TILAK SIR || 2083-02-08 || 9:00PM,04.02.05,ECONOMICS,DERIVATION OF LM CURVE,TILAK SIR,2083-02-08,9:00PM,
Xdjg3UDIQoA,,GK || ASHMAN SIR || 2083-02-08 || 6:30AM,02.02.05,GK FOR ALL,नेपालको इतिहास (राजतन्त्र),ASHMAN SIR,2083-02-08,6:30AM,
BzKWl_KPOX4,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-08 || 5:00AM,03.07.04,ACT,DIRECTIVE : 4,KRISHNA SIR,2083-02-08,5:00AM,
SKJMbA5SfPA,,|| ECONOMICS || NRB OFFICER || ENGLISH MEDIUM || TILAK SIR || 2083-02-07 || 9:00PM,04.02.04,ECONOMICS,SHIFT IN THE IS CURVE,TILAK SIR,2083-02-07,9:00PM,
48IAUjFf5JQ,,GK || SABIN SIR || 2083-02-07 || 8:00PM,05.03.01,GK FOR ALL,अन्तराष्ट्रिय संघ संस्था,SABIN SIR,2083-02-07,8:00PM,
Os5gyGAQqTo,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-07 || 5:00AM,03.07.03,ACT,DIRECTIVE : 3,KRISHNA SIR,2083-02-07,5:00AM,
y3QAbvESRfE,PwtUSCJ_mI0,नेपालका हिमालहरु पूर्व - पश्चिम ||GK || SABIN SIR || 2083-02-06 || 8:00PM,01.02.08,GK FOR ALL,नेपालका हिमालहरु पूर्वपूर्व-पश्चिम,SABIN SIR,2083-02-06,8:00PM,
lqFmjzJfFC0,q-d68AXjo4E,GK || ASHMAN SIR || 2083-02-06 || 6:30AM,02.02.04,GK FOR ALL,History of Nepal: Lichhchhbhikali Samayaka Nikayaharu,ASHMAN SIR,2083-02-06,6:30AM,
y41LVxX5SnQ,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-06 || 5:00AM,03.07.02,ACT,DIRECTIVE : 2,KRISHNA SIR,2083-02-06,5:00AM,
nCfM54f91J0,k2okeszAyqk,GK || ASHMAN SIR || 2083-02-05|| 6:30AM,02.02.03,GK FOR ALL,History of Nepal (नेपालमा शासन गरेका वंशहरु),ASHMAN SIR,2083-02-05,6:30AM,
EsanBzVsr2E,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-02-05 || 5:00AM,03.07.01,ACT,DIRECTIVE : 1,KRISHNA SIR,2083-02-05,5:00AM,
37FNHD3UGM0,n7N7nDeDNTw,GK || SABIN SIR || 2083-02-04 || 8:00PM,01.02.06,GK FOR ALL,Geography of Nepal: नदी नाला तथा ताल,SABIN SIR,2083-02-04,8:00PM,
ZUbeIP-gQVw,OjQgnr09z2Q,GK || SABIN SIR || 2083-02-03 || 8:00PM,01.02.05,GK FOR ALL,Geography of Nepal : नदी नाला,SABIN SIR,2083-02-03,8:00PM,
zuGQqIJRx7o,,GK || SABIN SIR || 2083-01-31 || 8:00PM,01.02.04,GK FOR ALL,Geography of Nepal : नदी नाला सम्बन्धी,SABIN SIR,2083-01-31,8:00PM,
xvKNRGsSvz0,,"नेपालको इतिहास, नेपालको ऐतिहासिक अवस्था  || GK || ASHMAN SIR || 2083-01-31 || 6:30 AM ||",02.02.01,GK FOR ALL,"नेपालको इतिहास, नेपालको ऐतिहासिक अवस्था",ASHMAN SIR,2083-01-31,6:30 AM,
P3hQ-K42jpg,aUZIHTrSMkk,"|| पहाडी प्रदेश, हिमाली प्रदेश र नदिनाला || GK || SABIN SIR || 2083-01-30 || 8:00PM||",01.02.03,GK FOR ALL,"पहाडी प्रदेश, हिमाली प्रदेश, र नदिनाला",SABIN SIR,2083-01-30,8:00PM,
mnXenRzomr4,,भाग ५ :- राज्यको संरचना र राज्य शक्तिको बाँडफाँड || GK || ASHMAN SIR || 2083-01-30 || 6:30 AM ||,04.01.04,GK FOR ALL,भाग ५ :- राज्यको संरचना र राज्य शक्तिको बाँडफाँड,ASHMAN SIR,2083-01-30,6:30 AM,
JUW3siHMzvo,,ACT || ENGLISH MEDIUM || KRISHNA SIR || 2083-01-30|| 5:00AM,03.04.03,ACT,"AML ACT, 2064",KRISHNA SIR,2083-01-30,5:00AM,
NvhejDn8fkc,oWoK7f7VnVM,GK || SABIN SIR || 2083-01-29 || 8 :00PM,01.02.02,GK FOR ALL,Geography of Nepal: Physiography Division of Nepal,SABIN SIR,2083-01-29,8 :00PM,
